時間,客隊,主隊,客隊得分,主隊得分,總分,總分單雙,第一節單雙,第二節單雙,上半場單雙,第三節單雙,第四節單雙
2019-02-24,洛杉矶快船,丹佛掘金,96,123,219,單,單,單,雙,雙,單
2019-01-10,洛杉矶快船,丹佛掘金,100,121,221,單,雙,單,單,雙,雙
2018-12-22,丹佛掘金,洛杉矶快船,111,132,243,單,雙,單,單,雙,雙
2018-10-17,丹佛掘金,洛杉矶快船,107,98,205,單,單,雙,單,單,單
2018-04-07,丹佛掘金,洛杉矶快船,134,115,249,單,單,單,雙,雙,單
2018-02-27,洛杉矶快船,丹佛掘金,122,120,242,雙,單,單,雙,單,單
2018-01-17,丹佛掘金,洛杉矶快船,104,109,213,單,雙,單,單,雙,雙
2017-03-16,洛杉矶快船,丹佛掘金,114,129,243,單,雙,單,單,雙,雙
2017-01-21,洛杉矶快船,丹佛掘金,98,123,221,單,單,單,雙,雙,單
2016-12-26,丹佛掘金,洛杉矶快船,106,102,208,雙,雙,單,單,單,雙
2016-12-20,丹佛掘金,洛杉矶快船,102,119,221,單,雙,單,單,雙,雙
2016-03-27,丹佛掘金,洛杉矶快船,90,105,195,單,單,單,雙,單,雙
2016-02-24,丹佛掘金,洛杉矶快船,87,81,168,雙,雙,雙,雙,單,單
2015-11-24,洛杉矶快船,丹佛掘金,111,94,205,單,單,單,雙,單,雙
2015-04-13,丹佛掘金,洛杉矶快船,103,110,213,單,雙,單,單,雙,雙
2015-04-04,洛杉矶快船,丹佛掘金,107,92,199,單,雙,雙,雙,雙,單
2015-01-26,丹佛掘金,洛杉矶快船,98,102,200,雙,單,雙,單,單,雙
2014-12-19,洛杉矶快船,丹佛掘金,106,109,215,單,單,單,雙,單,雙
2014-04-15,丹佛掘金,洛杉矶快船,105,117,222,雙,雙,單,單,單,雙
2014-03-17,洛杉矶快船,丹佛掘金,100,110,210,雙,雙,單,單,單,雙
2014-02-03,洛杉矶快船,丹佛掘金,115,116,231,單,雙,雙,雙,單,雙
2013-12-21,丹佛掘金,洛杉矶快船,91,112,203,單,雙,單,單,雙,雙
2013-03-07,洛杉矶快船,丹佛掘金,92,107,199,單,雙,雙,雙,雙,單
2013-01-01,洛杉矶快船,丹佛掘金,78,92,170,雙,雙,單,單,單,雙
2012-12-25,丹佛掘金,洛杉矶快船,100,112,212,雙,單,雙,單,雙,單
2012-04-18,洛杉矶快船,丹佛掘金,104,98,202,雙,雙,雙,雙,雙,雙
2012-02-22,丹佛掘金,洛杉矶快船,95,103,198,雙,雙,雙,雙,單,單
2012-02-02,丹佛掘金,洛杉矶快船,112,91,203,單,單,雙,單,雙,雙
2012-01-29,洛杉矶快船,丹佛掘金,109,105,214,雙,單,雙,單,單,雙
2011-03-05,丹佛掘金,洛杉矶快船,94,100,194,雙,單,單,雙,雙,雙
2011-01-05,丹佛掘金,洛杉矶快船,93,106,199,單,單,單,雙,雙,單
2010-12-03,洛杉矶快船,丹佛掘金,104,109,213,單,雙,單,單,單,單
2010-11-05,洛杉矶快船,丹佛掘金,104,111,215,單,雙,單,單,雙,雙
2010-04-03,洛杉矶快船,丹佛掘金,90,98,188,雙,單,單,雙,單,單
2010-01-21,洛杉矶快船,丹佛掘金,85,105,190,雙,雙,單,單,單,雙
2009-11-20,丹佛掘金,洛杉矶快船,99,106,205,單,單,單,雙,單,雙
2009-04-04,洛杉矶快船,丹佛掘金,104,120,224,雙,單,雙,單,單,雙
2009-03-14,洛杉矶快船,丹佛掘金,94,107,201,單,單,雙,單,單,單
2008-11-26,丹佛掘金,洛杉矶快船,106,105,211,單,雙,單,單,單,單
2008-10-31,丹佛掘金,洛杉矶快船,113,103,216,雙,單,單,雙,雙,單
2008-04-08,丹佛掘金,洛杉矶快船,117,99,216,雙,雙,雙,雙,單,單
2008-02-29,洛杉矶快船,丹佛掘金,104,110,214,雙,單,單,雙,雙,雙
2007-11-30,洛杉矶快船,丹佛掘金,107,123,230,雙,雙,單,單,單,雙
2007-11-21,丹佛掘金,洛杉矶快船,90,101,191,單,單,雙,單,雙,雙
2007-04-07,丹佛掘金,洛杉矶快船,96,93,189,單,單,雙,單,單,單
2006-11-26,洛杉矶快船,丹佛掘金,88,103,191,單,單,雙,單,雙,雙
2006-11-02,丹佛掘金,洛杉矶快船,95,96,191,單,雙,單,單,雙,雙
2006-05-01,丹佛掘金,洛杉矶快船,83,101,184,雙,雙,雙,雙,雙,雙
2006-04-29,洛杉矶快船,丹佛掘金,100,86,186,雙,單,雙,單,單,雙
2006-04-27,洛杉矶快船,丹佛掘金,87,94,181,單,單,雙,單,單,單
2006-04-24,丹佛掘金,洛杉矶快船,87,98,185,單,單,單,雙,雙,單
2006-04-22,丹佛掘金,洛杉矶快船,87,89,176,雙,單,雙,單,單,雙
2006-04-04,丹佛掘金,洛杉矶快船,109,111,220,雙,單,單,雙,單,單
2006-01-28,丹佛掘金,洛杉矶快船,79,112,191,單,單,單,雙,雙,單
2006-01-27,洛杉矶快船,丹佛掘金,105,87,192,雙,單,單,雙,雙,雙
